grouping,dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,"",Site_Name,Other_Name,Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
1,10006806,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006806,C004723,,Alhambra Mine,38.72768,-119.97211,NA,United States,California,Alpine,M,"Gold, Silver","Copper, Lead, Zinc, Tungsten",Molybdenum,Unknown,,S,Past Producer,"Chalcopyrite, Galena, Pyrite",Quartz,,,Underground,,,,Wolframite,,"Hayden, F. (Albers, J.), Fraticelli, L. A. (Albers, J.), Mosier, Dan",,Diorite,,Quartzite,,,"CLARK, W.B., 1977; MINES AND MINERAL RESOURCES OF ALPINE COUNTY, CA., COUNTY REPT. 8;  CA. DIV. OF MINES AND GEOLOGY, P. 40GOODWIN, J.G., 1957;  LEAD AND ZINC IN CALIFORNIA;  CALIF. JOUR. MINES AND GEOLOGY, VOL. 53, NOS. 3&4;  DIV. OF MINES, P. 413",,,,,,,"1930'S, 1950'S",,B,,,,,,,,,,,,,,,,,
1,10159808,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10159808,C004723,60030004,Allumbra Mine,38.7282,-119.9721,NA,United States,California,Alpine,M,Gold,,"Molybdenum, Tungsten",Unknown,,,Past Producer,,,,,,,,,Wolframite,,Western Field Operations Center (WFOC),,,,,,,"CALIF ST MNG BUR 27 REPT 1931 P488CALIF JOUR MINES&GEOL V38P. 311, V. 53, NOS. 3&4, P. 413;  ENTRANCE IS 2400 S, 2100 ENW CORNER OF SECTIONWFOC MPF NO. 0060030004INFORMATION FROM THE FILES OF D. SCOTT, WFOC, SPOKANE, WARARE II FILE REPORT NO. 4982 AND 5982.CA. JOURNAL OF MINES AND GEOLOGY, VOL. 53, JULY-OCTOBER 1957NOS. 3 AND 4, P. 413.CA. JOURNAL OF MINES AND GEOLOGY, VOL. 38, JAN. 1942, NO. 1,P. 303 AND P. 311.CA. JOURNAL OF MINES AND GEOLOGY, VOL. 37, OCT. 1941, NO. 4,P. 565.CHAPTER OF REPORT XXVII OF THE STATE MINERALOGIST, VOL. 27,OCT., 1931, NO. 4, PGS. 488-490.",,,,,,,,,D,,,,,,,,,,,,,,,,,
1,10187208,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10187208,,60030077,Wolframite,38.7577,-119.9324,NA,United States,California,Alpine,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,"C D M & G CO. REPT. 8, 1977",,,,,,,,,D,,,,,,,,,,,,,,,,,
10,10076542,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10076542,W023603,,Adrian Alexander,36.96772,-119.3354,NA,United States,California,Fresno,M,Tungsten,,,Unknown,,Y,Producer,,,,,,,,,,,Unknown,,,,,,,"CJM & G V 47,NO 3,JULY 1957,P 548,534,PL 31;V 54 NO 1,JAN 1958,P165;SR 35,P 76;USBM MIN YEARBOOK, 1954 V 3,P 208",,,,,,,,,D,,,,,,,,,,,,,,,,,
10,10139491,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139491,W023603,60190180,Adrian Alexander,36.96774,-119.33536,NA,United States,California,Fresno,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,"Red Bud,Spanish Peak",,Western Field Operations Center (WFOC),,,,,,,"CJM & G V 47,NO 3,JULY 1957,P 548,534,PL 31;V 54 NO 1,JAN 19165;SR 35,P 76;USBM MIN YEARBOOK, 1954 V 3,P 208",,,,,,,,,D,,,,,,,,,,,,,,,,,
100,10008557,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008557,D000859,,Hill Top,37.34994,-118.53427,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,,,,,,,,,,"Elliott, James E., Fraticelli, L. A. (Albers, J.)",,Gabbro,,Gabbro,,,"LEMMON, D.M.;  TUNGSTEN DEPOSITS IN THE US;  VOL. I;  UNPUBLISHED DATA, P. 251.LEMMON, D.M. AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.",,,,,,,,,C,,,,,,,,,,,,,,,,,
100,10114969,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10114969,D000859,60270032,Hilltop Prospect,37.35354,-118.49454,NA,United States,California,Inyo,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,Hilltop,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
101,10115072,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10115072,,60270074,Holiday Claims,36.36467,-118.05092,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Prospect,,,,,,,,,,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
102,10188024,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188024,,60271562,Indian Prospect,36.76966,-117.64761,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Prospect,,,,,,,,,Indian,,"McHugh, Edward L.",,,,,,,"U. S. BUREAU OF MINES OPEN-FILE REPORT MLA 16-84, 1984, TABLE 1,NO. 46, P. 26.",,,,,,,,,D,,,,,,,,,,,,,,,,,
103,10008558,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008558,D000860,,El Diablo Mining Co,37.34994,-118.53427,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,,,,,,,,Jackrabbit,,"Elliott, James E., Mosier, Dan, Fraticelli, L. A. (Albers, J.)",,Diorite,,,,,"LEMMON, D.M.;  TUNGSTEN DEPOSITS IN THE US, VOL. I;  UNPUBLISHED DATA, P. 251-252.LEMMON, D.M., AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.",,,,,,,,,C,,,,,,,,,,,,,,,,,
103,10285228,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10285228,,60270689,Jackrabbit Tungsten Mine,37.35434,-118.52784,NA,United States,California,Inyo,M,Tungsten,,,Surface-Underground,,,Past Producer,,,,,,,,,Tungsten City,,Western Field Operations Center (WFOC),,,,,,,"CALIF. JOUR. MINES AND GEOL., V. 46, 1950, P. 36-37.CALIF. JOUR. MINES AND GEOL., V. 47, 1951, NO. 192, P. 197.",,,,,,,,,D,,,,,,,,,,,,,,,,,
104,10047113,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047113,M242363,,Molly Property,37.33467,-117.65009,NA,United States,Nevada,Esmeralda,M,Molybdenum,"Copper, Tungsten",,Unknown,,N,Occurrence,Molybdenite,,,,,,,,"Copper Canyon Prospect, Area Encompasses Macboyle Prospect",,"La Pointe, D.D. (Tingley, J.V.)",,,Sylvania Pluton,Quartz Monzonite,,,"BAKER, ARTHUR, III, 1964, UNPUBLISHED NOTES FROM FIELD SCOUTING TRIP TO LIDA DISTRICT: NBMG FILE 95, ITEM 1.NBMG BULL 78, P. 63-64, 71SCHILLING, J.H., 1962, NBMG REPORT 2, P.18.SCHILLING, J.H. (1979) MOLYBDENUM RESOURCES OF NEVADA: NBMG OFR 79-3.",,,,,,,,,C,,,,,,,,,,,,,,,,,
104,10208025,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10208025,,60271846,Joker No. 70,37.34325,-117.65842,NA,United States,California,Inyo,M,Gold,,Tungsten,Unknown,,,Unknown,,,,,,,,,,,"Ridenour, James",,,,,,,"CALIF. DIV. MINES AND GEOL. OPEN-FILE REPORT 88-2, 1988,NO. 48, PLATE 2A.",,,,,,,,,D,,,,,,,,,,,,,,,,,
104,10260864,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10260864,,60271845,Joker No. 77,37.34465,-117.66452,NA,United States,California,Inyo,M,Tungsten,,Copper,Unknown,,,Unknown,,,,,,,,,,,"Ridenour, James",,,,,,,"CALIF. DIV. MINES AND GEOL. OPEN-FILE REPORT 88-2, 1988,NO. 47, PLATE 2A.",,,,,,,,,D,,,,,,,,,,,,,,,,,
105,10236479,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10236479,,60271347,Juanita Prospect,37.40524,-118.07013,NA,United States,California,Inyo,M,Copper,,"Lead, Tungsten",Surface-Underground,,,Prospect,,,,,,,,,"Birch Creek Rare Ii Area, Juanita",,"Rains, Richard",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
106,10008705,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008705,D001046,,Jumbo,36.79996,-118.03425,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,N,Occurrence,Scheelite,,,,,,,,,,"Elliott, James E., Mosier, Dan",,Quartz Monzonite,,,,,"LEMMON, D.M., UNPUBLISHED DATA.LEMMON, D.M., AND TWETO, O.L., 1962, TUNGSTEN IN THE U.S., USGS MAP, MR-25.",,,,,,,,,D,,,,,,,,,,,,,,,,,
106,10187825,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10187825,D001046,60270034,Betty Jumbo Mine,36.80826,-118.03982,NA,United States,California,Inyo,M,Tungsten,,,Underground,,,Prospect,,,,,,,,,"Betty Jumbo Jumbo, Ford Mine, Mazourka Rare Ii Area, Jumbo Mine",,"Schmauch, Steven W.",,,,,,,"CALIF. JOUR. MINES AND GEOL., V. 47, 1951, NO. 193, P. 197.U. S. BUREAU OF MINES OPEN-FILE REPORT MLA 86-83, 1983, TABLE 2,NO. 117, P. 43.",,,,,,,,,D,,,,,,,,,,,,,,,,,
107,10008709,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008709,D001051,,Keogh,36.21664,-117.6009,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,"Epidote, Garnet",,PODS,,,,,,Cross Fractures,"Elliott, James E., Fraticelli, L. A. (Albers, J.), Mosier, Dan",,Limestone,,,,,"LEMMON, D.M. TUNGSTEN DEPOSITS IN THE U.S., VOL. I;  UNPUBLISHED DATA, P. 182NORMAN, L.A. AND STEWART, R.M., 1951;  MINES AND MINERAL RESOURCES INYO COUNTY;  CALIF. JOUR. MINES AND GEOLOGY, VOL. 47, NO. 1;  DIV. OF MINES, P. 197.TUCKER, W.B. AND SAMPSON, R.J., 1941; TUNGSTEN RESOURCES OF CALIFORNIA;  CALIF. JOUR. MINES AND GEOLOGY, VOL. 37, NO. 4;  DIV. OF MINES, P. 569",,,,,,,1942,,C,,,,,,,,,,,,,,,,,
107,10284969,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10284969,D001051,60270035,Keogh Group,36.17827,-117.614,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Prospect,,,,,,,,,Keogh,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
108,10212532,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10212532,D000853,60270036,Lakeview,37.33184,-118.68985,NA,United States,California,Inyo,M,Tungsten,,,Surface-Underground,,,Past Producer,,,,,,,,,"Lakeview Tungsten Mine, Carpenter and Brown, Gable Lakes Mine",,Thurber,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
109,10260746,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10260746,D000854,60270037,Irons Property,37.35554,-118.64785,NA,United States,California,Inyo,M,Tungsten,,,Surface-Underground,,,Past Producer,,,,,,,,,Lambert Mine,,"Lowe, Nathan T.",,,,,,,"JOHNSON, F.L., AND OTHERS, 1985, MINERAL RESOURCES OF THEJOHN MUIR WILDERNESS, FRESNO, INYO, MADERA, AND MONOCOUNTIES, CA, U.S. BUREAU OF MINES, UNPUBLISHED, MLAFILE REPORT, PLATE 1, MAP NO. 49.",,,,,,,,,D,,,,,,,,,,,,,,,,,
11,10101400,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10101400,D001002,,Balch Claims,36.89995,-119.11762,NA,United States,California,Fresno,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,,,,,,,,Mcbride Tungsten,,"Elliott, James E., Fraticelli, L. A. (Albers, J.)",,,,,,,"KRAUSKOPF, K.B., 1953;  TUNGSTEN DEPOSITS OF MADERA, FRESNO AND TULARE COUNTIES;  SPEC. REPT. 35;   DIV. OF MINES, P. 76.LEMMON, D.M. AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.LOGAN, C.A., ETAL, 1951;  MINES AND MINERAL RESOURCES FRESNO COUNTY;  CALIF. JOUR. MINES AND GEOLOGY VOL. 47, NO. 3;  DIV. OF MINES, P. 545.",,,,,,,,,C,,,,,,,,,,,,,,,,,
11,10188196,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188196,,60190295,Mc Bride Tungsten,36.89885,-119.11425,NA,United States,California,Fresno,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,"CJMG V 47,NO 3,JULY 1951,P 545,PL 31;V 38,NOS 3 & 4,P 316;SR76",,,,,,,,,D,,,,,,,,,,,,,,,,,
110,10188220,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188220,,60271701,Little John Nos. 1-5,37.27524,-118.67454,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,,Past Producer,,,,,,,,,,,Johnson,,,,,,,"JOHNSON, F. L., AND OTHERS, 1985, MINERAL RESOURCES OF THEJOHN MUIR WILDERNESS, FRESNO, INYO, MADERA, AND MONOCOUNTIES, CALIFORNIA:  U. S. BUREAU OF MINES UNPUBLISHED FILEREPORT. NO. 53, PLATE 1.",,,,,,,,,D,,,,,,,,,,,,,,,,,
111,10260677,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10260677,,60271696,Little John Prospect,37.32914,-118.64454,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,Johnson,,,,,,,"JOHNSON, F.L., AND OTHERS, 1985, MINERAL RESOURCES OF THEJOHN MUIR WILDERNESS, FRESNO, INYO, MADERA, AND MONOCOUNTIES, CALIFORNIA:  U. S. BUREAU OF MINES UNPUBLISHED FILEREPORT. NO. 45, PLATE 1.",,,,,,,,,D,,,,,,,,,,,,,,,,,
112,10035154,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035154,M022326,,Little Mcgee Creek,37.34022,-118.51927,NA,United States,California,Inyo,M,,,Tungsten,Unknown,,N,Occurrence,Scheelite,"Epidote, Garnet, Quartz",,,Underground,,,,,,"Fraticelli, L. A. (Albers, J.)",,Limestone,,Diorite,,,"NORMAN, L.A., AND STEWART, R.M., 1951;  MINES AND MINERAL RESOURCES INYO COUNTY:  CA. JOUR. MINES AND GEOLOGY, VOL. 47, NO. 1;  DIV. OF MINES, P. 198.TUCKER, W.B., AND SAMPSON, R.J., 1941;  TUNGSTEN RESOURCES OF CALIFORNIA;  CA. JOUR. MINES AND GEOLOGY, VOL. 37, NO. 4:  DIV. OF MINES, P. 570.TUCKER AND SAMPSON, 1941",,,,,,,,,C,,,,,,,,,,,,,,,,,
112,10235941,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10235941,M022326,60270038,Little Mcgee Creek,37.33744,-118.52904,NA,United States,California,Inyo,M,Tungsten,,,Underground,,,Prospect,,,,,,,,,,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
113,10101386,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10101386,D000861,,Little Shot,37.34994,-118.53427,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,,,,,,,,Brooks,,"Fraticelli, L. A. (Albers, J.), Elliott, James E., Mosier, Dan",,Quartzite,,,,,"LEMMON, D.M.;  TUNGSTEN DEPOSITS IN THE US;  VOL. I;  UNPUBLISHED DATA, P. 252-253.LEMMON, D.M. AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.NORMAN, L.A. AND STEWART, R.M., 1951;  MINES AND MINERAL RESOURCES INYO COUNTY;  CA. JOUR. MINES AND GEOLOGY, VOL. 47, NO. 1;  DIV. OF MINE, P. 90.",,,,,,,,,C,,,,,,,,,,,,,,,,,
114,10008716,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008716,D001061,,Little Sister,37.34994,-118.53427,NA,United States,California,Inyo,M,Tungsten,Zinc,,Unknown,,M,Past Producer,"Scheelite, Sphalerite",,,,,,,,Tungsten Mines Company,,"Elliott, James E., Fraticelli, L. A. (Albers, J.)",,,,Diorite,3 High Angle Faults,,"LEMMON, D.M. TUNGSTEN DEPOSITS IN THE U.S., VOL. I;  UNPUBLISHED DATA, P. 253-255.LEMMON, D.M. AND TWETO, O.L., 1962:  TUNGSTEN IN THE U.S.;  U.S.G.S. MAP, MR-25.",,1916,,,,1916,1916-1942,,C,,,,,,,,,,,,,,,,,
114,10139581,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139581,D001061,60270475,Little Sister,37.34714,-118.53064,NA,United States,California,Inyo,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,Tungsten Mines Company,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
115,10236004,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10236004,,60270053,Lone Pine,36.26937,-117.68031,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Unknown,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,U.S.B.M. DMEA TUNGSTEN FILES WFOC SPOKANE,,,,,,,,,D,,,,,,,,,,,,,,,,,
116,10094245,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10094245,D001049,,Lone Pinyon,36.24997,-117.78424,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,N,Occurrence,Scheelite,,,,,,,,,,"Fraticelli, L. A. (Albers, J.), Mosier, Dan, Elliott, James E.",,Metasedimentary Rock,,Diorite,,,"LEMMON, D.M. TUNGSTEN DEPOSITS IN THE U.S., VOL. I;  UNPUBLISHED DATA, P. 182-183LEMMON, D.M. AND TWETO, O.L., 1962;  TUNGSTEN IN THE U.S.;  USGS MAP, MR-25",,,,,,,,,C,,,,,,,,,,,,,,,,,
117,10008559,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008559,D000862,,Lucky Strike,37.34994,-118.53427,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,N,Occurrence,Scheelite,,,,Surface/Underground,,,,,,"Mosier, Dan, Elliott, James E., Fraticelli, L. A. (Albers, J.)",,Marble,,,,,"LEMMON, D.M.; TUNGSTEN DEPOSITS IN THE US;  VOL. I;  UNPUBLISHED DATA, P. 255-256.LEMMON, D.M., AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.",,,,,,,,,C,,,,,,,,,,,,,,,,,
117,10139270,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139270,D000860,60270040,Lucky Strike Mine,37.34804,-118.53784,NA,United States,California,Inyo,M,Tungsten,,,Underground,,,Prospect,,,,,,,,,El Diablo Mining Company,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
118,10035161,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035161,M022334,,Macvan,37.28716,-118.43927,NA,United States,California,Inyo,M,,,Tungsten,Unknown,,N,Occurrence,Scheelite,Quartz,,,,,,,,,"Fraticelli, L. A. (Albers, J.)",,Diorite,,Diorite,,,"NORMAN, L.A., AND STEWART, R.M., 1951;  MINES AND MINERAL RESOURCES OF INYO COUNTY;  CA. JOUR. MINES AND GEOLOGY, VOL. 47, NO. 1;  DIV. OF MINES, P. 198.PARTRIDGE, J. F., 1941;  TUNGSTEN RESOURCES OF CALIFORNIA;  CALIF. JOUR. MINES AND GEOLOGY, VOL. 37, NO. 4;  DIV. OF MINES, P. 295.",,,,,,,,,C,,,,,,,,,,,,,,,,,
118,10188018,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188018,M022334,60270041,Mac Van Claim,37.28414,-118.43204,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,Mac Van,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
119,10163253,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163253,D000868,60270520,Merrill Prospect,37.23104,-118.54954,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Prospect,,,,,,,,,,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
12,10134495,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10134495,,60190253,Bear Creek Mine,36.94354,-119.21656,NA,United States,California,Fresno,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,Atomic Enegy Claims,,Western Field Operations Center (WFOC),,,,,,,INDEX OF DMEA REPORTS (CALIF-NEVADA),,,,,,,,,D,,,,,,,,,,,,,,,,,
120,10236068,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10236068,,60271940,Middle Peterson,37.24774,-118.50454,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Prospect,,,,,,,,,"Tungsten Valley - 0060270062, Coyote Flat, Peterson Mine, A. H. Peterson Property",,"Ridenour, James",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
121,10211896,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10211896,,60271825,Midnite Nos. 3 and 4,37.40385,-117.76152,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,,Unknown,,,,,,,,,,,"Ridenour, James",,,,,,,"CALIF. DIV. MINES AND GEOL. OPEN-FILE REPORT 88-2, 1988,NO. 28, PLATE 2A.",,,,,,,,,D,,,,,,,,,,,,,,,,,
122,10212508,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10212508,,60270397,Mile High Mine,37.36465,-118.02513,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Past Producer,,,,,,,,,Mile High Mine Group 7Group 7,,Western Field Operations Center (WFOC),,,,,,,25 MI NE OF BIG PINE ON HIGHWAY 168,,,,,,,,,D,,,,,,,,,,,,,,,,,
123,10187738,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10187738,,60270660,Mirage-Mariposa Mine,37.34804,-118.25373,NA,United States,California,Inyo,M,Tungsten,,Silver,Surface-Underground,,,Past Producer,,,"Argentite, Epidote, Garnet, Quartz, Scheelite",,,,,,"Golden Mirage Mine, Golden Mirage & Mariposa Claims, Wooley Mine, Black Canyon Rare Ii Area",,"Rains, Richard",,,,,,,"CALIF. STATE MINING BUR. REPORT, V. 12, 1894, P. 140-141.U. S. GEOLOGICAL SURVEY PROF. PAPER 110, 1918, P. 119-120.KNOPF. A., 1912, MINERAL RESOURCES OF THE INYO AND WHITEMOUNTAINS, CALIFORNIA: U.S. GEOLOGICAL SURVEY BULLETIN540, P. 114.BATEMAN, P. C., 1956, ECONOMIC GEOLOGY OF THE BISHOPTUNGSTEN DISTRICT, CALIFORNIA: CALIFORNIA DIVISION OFMINES SPECIAL REPORT 47, P. 80.RAINS, R. L., AND OTHERS, 1983, MINERAL INVESTIGATION OF THEBLACK CANYON RARE II AREA (NO. 5061), INYO COUNTY,CALIFORNIA:  U. S. BUREAU OF MINES OPEN-FILE REPORT MLA 85-83,NO. 14, P. 15.",,,,,,,,,B,,,,,,,,,,,,,,,,,
124,10008554,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008554,D000855,,Molly Tungstite,37.38327,-118.71762,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,N,Occurrence,Scheelite,"Calcite, Diopside, Epidote, Fluorite, Garnet, Quartz, Sphene",,LENTICULAR,,,,,,,"Elliott, James E., Fraticelli, L. A. (Albers, J.), Mosier, Dan",,Marble,,,,,"LEMMON, D.M.;  TUNGSTEN DEPOSITS IN THE US, VOL. I;  UNPUBLISHED DATA, P. 234-235.LEMMON, D.M. AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.",,,,,,,,,C,,,,,,,,,,,,,,,,,
124,10139091,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139091,D000855,60270043,Molly Tungstite Claims,37.35024,-118.70095,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,"Molly Tungstite, Blue Grouse Mine",,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
125,10035167,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035167,M022341,,Monarch,36.59247,-117.55702,NA,United States,California,Inyo,M,Tungsten,,,Unknown,Vein,S,Past Producer,Huebnerite,,,,Underground,,,,,Fissure,"Fraticelli, L. A. (Albers, J.)",,Granite,,Granite,,,"NORMAN, L.A., AND STEWART, R.M., 1951;  MINES AND MINERAL RESOURCES INYO COUNTY;  CA. JOUR. MINES AND GEOLOGY, VOL. 47, NO. 1;  DIV. OF MINES P. 198.PARTRIDGE, J.F., 1941;  TUNGSTEN RESOURCES OF CALIF.;  CA. JOUR. MINES AND GEOLOGY, VOL. 37 NO. 2;  DIV. OF MINES, P. 311-312.",,,,,,,1915,,C,,,,,,,,,,,,,,,,,
125,10114856,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10114856,M022341,60270044,Monarch Mine,36.59137,-117.52841,NA,United States,California,Inyo,M,Tungsten,,"Copper, Silver",Underground,,,Past Producer,,,,,,,,,"Monarch, Tres Arrastre, Navajo Chief",,"Causey, J. Douglas",,,,,,,"CALIF. JOUR. MINES AND GEOL., V. 37, 1941, P. 311-312.CALIF. JOUR. MINES AND GEOL., V. 47, 1951, NO. 200, P. 198.CALIF. DIV. MINES SPECIAL REPORT 47, 1956, P. 51.U. S. BUREAU OF MINES OPEN-FILE REPORT MLA 105-83, 1983, TABLE 1,NO. 3, P. 10.",,,,,,,,,C,,,,,,,,,,,,,,,,,
126,10188260,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188260,,60271826,Moon Mining Co.,37.39415,-117.77202,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,,Unknown,,,,,,,,,,,"Ridenour, James",,,,,,,"CALIF. DIV. MINES AND GEOL. OPEN-FILE REPORT 88-2, 1988,NO. 29, PLATE 2A.",,,,,,,,,D,,,,,,,,,,,,,,,,,
127,10114987,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10114987,,60271702,Mount Humphreys Cirque Claims,37.26554,-118.65674,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,Johnson,,,,,,,"JOHNSON, F. L., AND OTHERS, 1985, MINERAL RESOURCES OF THEJOHN MUIR WILDERNESS, FRESNO, INYO, MADERA, AND MONOCOUNTIES, CALIFORNIA:  U. S. BUREAU OF MINES UNPUBLISHED FILEREPORT. NO. 55, PLATE 1.",,,,,,,,,D,,,,,,,,,,,,,,,,,
